,State,year,injuries,Hospitalized,Amputation,public,private,ratio,total,RTW,prez_red,Arm,BODY SYSTEMS,Back,Core,Foot,Groin,Hand,Head,Leg,Multiple,Nonclassifiable,Organ,Upper and lower limb(s),Whole body
101,KANSAS,2020,146.0,119.0,44.0,0.0,0.0,0.0,0.0,True,Republican,10.0,4.0,4.0,13.0,11.0,2.0,47.0,10.0,14.0,17.0,4.0,9.0,1.0,0.0
102,KENTUCKY,2015,10.0,8.0,2.0,4195.0,3744.0,0.8924910607866507,7939.0,True,Republican,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
103,KENTUCKY,2016,16.0,14.0,3.0,3633.0,4101.0,1.128819157720892,7734.0,True,Republican,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0
104,KENTUCKY,2017,4.0,4.0,0.0,3595.0,4400.0,1.2239221140472878,7995.0,True,Republican,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
105,KENTUCKY,2018,5.0,5.0,0.0,3673.0,4975.0,1.3544786278246665,8648.0,True,Republican,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
106,KENTUCKY,2019,9.0,8.0,1.0,3251.0,6085.0,1.8717317748385112,9336.0,True,Republican,0.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
107,KENTUCKY,2020,5.0,4.0,1.0,0.0,0.0,0.0,0.0,True,Republican,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
108,LOUISIANA,2015,267.0,235.0,53.0,5200.0,14874.0,2.8603846153846155,20074.0,True,Republican,9.0,18.0,9.0,8.0,26.0,2.0,80.0,16.0,41.0,23.0,24.0,10.0,0.0,1.0
109,LOUISIANA,2016,242.0,199.0,59.0,3993.0,15254.0,3.820185324317556,19247.0,True,Republican,7.0,21.0,7.0,13.0,16.0,2.0,78.0,18.0,35.0,23.0,11.0,9.0,2.0,0.0
110,LOUISIANA,2017,250.0,232.0,45.0,4265.0,15055.0,3.52989449003517,19320.0,True,Republican,15.0,23.0,7.0,14.0,18.0,2.0,72.0,15.0,33.0,23.0,8.0,17.0,3.0,0.0
111,LOUISIANA,2018,268.0,237.0,65.0,3958.0,13259.0,3.3499242041435067,17217.0,True,Republican,16.0,16.0,7.0,10.0,26.0,3.0,87.0,11.0,39.0,25.0,8.0,13.0,7.0,0.0
